entry_time,exit_time,entry_price,exit_price,position,profit_loss,profit_pct,duration_hours,exit_reason,entry_month,exit_month,month_str
2020-05-02 09:00:00,2020-05-02 10:00:00,8811.9,8828.23,LONG,27.73178287916148,0.185317581906285,1.0,Bearish MACD divergence detected,2020-05,2020-05,2020-05
2020-05-02 10:00:00,2020-05-02 11:00:00,8828.23,8834.0,LONG,9.779107050663356,0.0653585146739543,1.0,Bearish MACD divergence detected,2020-05,2020-05,2020-05
2020-05-02 18:00:00,2020-05-03 10:00:00,8866.72,9041.46,LONG,294.4702192224976,1.9707400256239036,16.0,Bearish MACD divergence detected,2020-05,2020-05,2020-05
2020-05-09 04:00:00,2020-05-10 00:00:00,9830.23,8703.67,LONG,-1742.6799698465913,-11.460159121404072,20.0,Trailing stop hit at $9043.81 (8.0% from high of $9830.23),2020-05,2020-05,2020-05
2020-05-11 19:00:00,2020-05-13 00:00:00,8746.86,8934.03,LONG,287.4911615018817,2.1398536160405,29.0,Bearish MACD divergence detected,2020-05,2020-05,2020-05
2020-05-15 04:00:00,2020-05-18 01:00:00,9444.21,9902.1,LONG,664.0048800013913,4.8483674124146035,69.0,Bearish MACD divergence detected,2020-05,2020-05,2020-05
2020-05-18 08:00:00,2020-05-18 14:00:00,9591.54,9708.56,LONG,174.84783139679837,1.2200334878444816,6.0,Bearish MACD divergence detected,2020-05,2020-05,2020-05
2020-05-18 17:00:00,2020-05-20 06:00:00,9625.07,9724.39,LONG,149.3908526197471,1.0318885992517428,37.0,Bearish MACD divergence detected,2020-05,2020-05,2020-05
2020-05-20 06:00:00,2020-05-21 18:00:00,9724.39,8831.26,LONG,-1340.7178423143064,-9.184432134046446,36.0,Trailing stop hit at $9006.62 (8.0% from high of $9789.80),2020-05,2020-05,2020-05
2020-05-24 02:00:00,2020-05-27 18:00:00,9198.96,9169.48,LONG,-42.39563457687791,-0.3204710097663167,88.0,RSI reversal from overbought levels (RSI: 84.28),2020-05,2020-05,2020-05
